Plastic,"Bottles, Jugs and Tubs","These include plastic jugs with a neck (milk, juice, and pop bottles), plastic bottles with a neck (beverage, fabric softener, detergent, and window, bathroom and kitchen cleaners), and round plastic dairy tubs (yogurt, dairy, and butter or margarine). This does not include 'clam shells' or other food take-out plastic containers which are not currently being recycled."
Plastic,Mixed Plastics and Other Types of Plastics,"Many other types of plastic, such as vinyl banners, disposable Tyvek clothing (shoe and boot covers, coveralls, hoods, lab coats, aprons, sleeves and pants), and large quantities of other plastics may be recyclable."
Plastic,Packing Peanuts and Foam Blocks,"Packing materials include packing peanuts, polystyrene and expanded polystyrene (EPS), expanded polypropylene, and expanded polyethylene foam blocks. Packing peanuts are the small Styrofoam 'peanuts' found in many packages shipped through the mail. Packing peanuts are not recyclable, but they are reusable. Many gift stores or shipping centers will accept clean packing peanuts free of charge to reuse in packaging or shipping. Polystyrene includes foam materials such as egg cartons and fruit packaging. EPS and expanded polyethylene blocks are commonly used in the packing of electronic equipment and may be recyclable."
Plastic,Plastic Film and Grocery Bags,"Plastic film includes dry cleaning bags, bread bags, newspaper bags, pallet wrap, and shrink wrap as well as plastic grocery bags. This does not include biodegradable or compostable bags."
Plastic,Plastic Nursery Pots,Round or square pots made from a variety of different kinds of plastic and used for transporting garden plants and seedlings.
Plastic,Plastic Office Supplies,"Plastic office supplies include transparencies (such as overhead transparencies used in classrooms) and Tyvek Envelopes (thin, water/rip resistant plastic envelopes)."
Printer Cartridges,Inkjet Cartridges,A plastic cartridge filled with toner used for computer printers.
Printer Cartridges,Ribbon Cartridges,A plastic cartridge that houses a ribbon containing ink which is used in various types of printers.
Printer Cartridges,Toner Cartridges,Plastic cartridge filled with toner for use in a computer printer.
Propane Tanks,Propane Tanks,"A propane tank is a metal tank used to store propane gas, typically used with a barbecue grill."
Sharps,Medical Sharps,"'Sharps waste' includes all hypodermic needles, syringes with needles attached, intravenous (IV) tubing with needles attached, scalpel blades and lancets that have been removed from the original sterile packaging, and epipen or auto-injectors."
Tanks,Heating Oil Tanks,Home heating oil tanks can be either underground or above ground and are used to store oil to heat the residence on the property.
Textiles,Clothing and Fabrics,"Materials made from cotton, fiber, or textiles. This category includes clothing, rags, curtains and other fabrics."
Textiles,Flags,"Worn, damaged or torn U.S. Flags."
Textiles,Shoes,Footwear.
Thermostats,Mercury-Containing Thermostats,Temperature-control devices that contain mercury.
Tires,"Passenger, Truck, Motorcycle Tires","Passenger, truck and motorcycle tires are typically made from rubber and other reinforcing material."
"Vehicles, Vehicle-Related Items",Mercury Switches,Mercury tilt switches are used in hood and trunk lights to turn the lights on and off. They do not pose any danger to the driver but should be removed from the vehicle before the car is at the end-of-its life.
"Vehicles, Vehicle-Related Items",Motor Oil,Motor oil is made of refined oil used to lubricate car and truck engines.
"Vehicles, Vehicle-Related Items",Oversized Items,"Boats, motor homes, campers, trailers and similar large objects."
"Vehicles, Vehicle-Related Items",Vehicles and Major Vehicle Parts,"Cars, trucks, motorcycles and major vehicle parts such as engine blocks with vehicle identification numbers (VINs)."
